10000k/10000k.scf::ENE -24232.19478356
10000k/10000k.scf::ENE -24232.16762014
10000k/10000k.scf::ENE -24232.15880445
10000k/10000k.scf::ENE -24232.14671585
10000k/10000k.scf::ENE -24232.14852336
10000k/10000k.scf::ENE -24232.19238031
10000k/10000k.scf::ENE -24232.21466832
10000k/10000k.scf::ENE -24232.22790762
10000k/10000k.scf::ENE -24232.22772495
10000k/10000k.scf::ENE -24232.22788833
1000k/1000k.scf::ENE -24232.19558823
1000k/1000k.scf::ENE -24232.16835668
1000k/1000k.scf::ENE -24232.15956251
1000k/1000k.scf::ENE -24232.14561295
1000k/1000k.scf::ENE -24232.14972177
1000k/1000k.scf::ENE -24232.17239468
1000k/1000k.scf::ENE -24232.19707874
1000k/1000k.scf::ENE -24232.22869413
1000k/1000k.scf::ENE -24232.22815654
1000k/1000k.scf::ENE -24232.22852216
1000k/1000k.scf::ENE -24232.22850217
1000k/1000k.scf::ENE -24232.22842994
2000k/2000k.scf::ENE -24232.19447511
2000k/2000k.scf::ENE -24232.16730694
2000k/2000k.scf::ENE -24232.15843832
2000k/2000k.scf::ENE -24232.14791069
2000k/2000k.scf::ENE -24232.14885181
2000k/2000k.scf::ENE -24232.18969692
2000k/2000k.scf::ENE -24232.21945278
2000k/2000k.scf::ENE -24232.22729276
2000k/2000k.scf::ENE -24232.22733715
2000k/2000k.scf::ENE -24232.22750245
2000k/2000k.scf::ENE -24232.22753807
2000k/2000k.scf::ENE -24232.22747639
3000k/3000k.scf::ENE -24232.24506145
3000k/3000k.scf::ENE -24232.21655210
3000k/3000k.scf::ENE -24232.20884725
3000k/3000k.scf::ENE -24232.17652297
3000k/3000k.scf::ENE -24232.12166055
3000k/3000k.scf::ENE -24232.07567712
3000k/3000k.scf::ENE -24232.07432621
3000k/3000k.scf::ENE -24232.11839587
3000k/3000k.scf::ENE -24232.07543320
3000k/3000k.scf::ENE -24232.07311054
3000k/3000k.scf::ENE -24232.07312066
3000k/3000k.scf::ENE -24232.07312684
5000k/5000k.scf::ENE -24232.24523148
5000k/5000k.scf::ENE -24232.21676870
5000k/5000k.scf::ENE -24232.20903469
5000k/5000k.scf::ENE -24232.17818619
5000k/5000k.scf::ENE -24232.12228102
5000k/5000k.scf::ENE -24232.07635050
5000k/5000k.scf::ENE -24232.07516376
5000k/5000k.scf::ENE -24232.07349310
5000k/5000k.scf::ENE -24232.07317946
5000k/5000k.scf::ENE -24232.07336183
5000k/5000k.scf::ENE -24232.07341185
5000k/5000k.scf::ENE -24232.07324812
5000k/5000k.scf::ENE -24232.07328149
